eval_block,source_dataset,target_dataset,regime,fusion_name,component_methods,threshold_type,threshold_value_or_mode,score_normalization_rule,eligible,f1,precision,recall,fpr,roc_auc,pr_auc,best_single_method_same_tier,best_single_f1_same_tier,best_single_recall_same_tier,best_single_fpr_same_tier,delta_f1_vs_best_single,delta_recall_vs_best_single,delta_fpr_vs_best_single,interpretable_gain_type,notes
cic_to_unsw,CIC-IDS2017,UNSW-NB15,cross_domain,score_average,lr+xgb+lstm,default,0.5,raw_prob_avg_thr0.5,True,0.0,0.0,0.0,0.0,,,lr,0.1429,0.1998,0.0958,-0.1429,-0.1998,-0.0958,no_material_gain,
cic_to_unsw,CIC-IDS2017,UNSW-NB15,cross_domain,OR,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0579,0.0601,0.056,0.0525,,,xgb,0.0549,0.0525,0.0516,0.003,0.0035,0.0009,no_material_gain,
cic_to_unsw,CIC-IDS2017,UNSW-NB15,cross_domain,AND,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,xgb,0.0549,0.0525,0.0516,-0.0549,-0.0525,-0.0516,tradeoff_not_worth_it,
cic_to_unsw,CIC-IDS2017,UNSW-NB15,cross_domain,majority_vote,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,xgb,0.0549,0.0525,0.0516,-0.0549,-0.0525,-0.0516,no_material_gain,
cic_to_unsw,CIC-IDS2017,UNSW-NB15,cross_domain,OR,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.0877,0.063,0.1446,0.1291,,,lr,0.0641,0.0753,0.0764,0.0236,0.0693,0.0527,tradeoff_not_worth_it, [Reclassified: mechanistic unique TP exists but FPR too high for deployment]
cic_to_unsw,CIC-IDS2017,UNSW-NB15,cross_domain,AND,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,lr,0.0641,0.0753,0.0764,-0.0641,-0.0753,-0.0764,tradeoff_not_worth_it,
cic_to_unsw,CIC-IDS2017,UNSW-NB15,cross_domain,majority_vote,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.0357,0.1009,0.0217,0.0116,,,lr,0.0641,0.0753,0.0764,-0.0284,-0.0536,-0.0648,no_material_gain,
iot_to_unsw,IoT-23,UNSW-NB15,cross_domain,OR,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.0589,0.0322,0.3464,0.6248,,,lstm,0.1394,0.1079,0.0264,-0.0805,0.2385,0.5984,mostly_fp_relaxation,
iot_to_unsw,IoT-23,UNSW-NB15,cross_domain,AND,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,lstm,0.1394,0.1079,0.0264,-0.1394,-0.1079,-0.0264,tradeoff_not_worth_it,
iot_to_unsw,IoT-23,UNSW-NB15,cross_domain,majority_vote,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.0306,0.0177,0.1122,0.3736,,,lstm,0.1394,0.1079,0.0264,-0.1088,0.0043,0.3472,mostly_fp_relaxation,
iot_to_unsw,IoT-23,UNSW-NB15,cross_domain,score_average,lr+xgb+lstm,default,0.5,raw_prob_avg_thr0.5,True,0.0306,0.0177,0.1122,0.3736,,,lstm,0.1394,0.1079,0.0264,-0.1088,0.0043,0.3472,mostly_fp_relaxation,
iot_to_unsw,IoT-23,UNSW-NB15,cross_domain,OR,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0538,0.0295,0.3067,0.6062,,,lstm,0.1177,0.0896,0.026,-0.0639,0.2171,0.5802,mostly_fp_relaxation,
iot_to_unsw,IoT-23,UNSW-NB15,cross_domain,AND,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,lstm,0.1177,0.0896,0.026,-0.1177,-0.0896,-0.026,tradeoff_not_worth_it,
iot_to_unsw,IoT-23,UNSW-NB15,cross_domain,majority_vote,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0332,0.0201,0.0957,0.2801,,,lstm,0.1177,0.0896,0.026,-0.0845,0.0061,0.2541,mostly_fp_relaxation,
