setting,source,target,method,threshold_type,threshold_value,f1,recall,fpr,classification,evidence_status,interpretation,notes
cross_domain,cic,iot,lr,val_tuned,1.0,0.00163,0.000817,0.001813,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0008 (near-zero); effectively all-benign prediction,CIC val_tuned applied to IoT
cross_domain,cic,iot,rf,val_tuned,0.036377,0.001061,0.000544,0.033714,observed_true_zero,observed_row,"Near-zero F1=0.0011, Recall=0.0005; effectively zero detection",CIC val_tuned applied to IoT
cross_domain,cic,iot,xgb,val_tuned,4.8e-05,0.11313,0.060152,0.00435,observed_nonzero,observed_row,"F1=0.1131, Recall=0.0602, FPR=0.0043",CIC val_tuned applied to IoT
cross_domain,cic,iot,cnn1d,val_tuned,0.315869,0.000799,0.000408,0.029183,observed_true_zero,observed_row,"Near-zero F1=0.0008, Recall=0.0004; effectively zero detection",CIC val_tuned applied to IoT
cross_domain,cic,iot,lstm,val_tuned,0.61916,0.0,0.0,0.000181,observed_true_zero,observed_row,Zero recall at this threshold; model produces no (or negligible) positive predictions,CIC val_tuned applied to IoT
cross_domain,cic,unsw,lr,val_tuned,1.0,0.0068123758160658,0.0034702139965297,0.0009196678784303,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0035 (near-zero); effectively all-benign prediction,CIC val_tuned applied to UNSW
cross_domain,cic,unsw,rf,val_tuned,0.0363772183033211,0.0708971553610503,0.0585598611914401,0.0356067638969624,observed_nonzero,observed_row,"F1=0.0709, Recall=0.0586, FPR=0.0356",CIC val_tuned applied to UNSW
cross_domain,cic,unsw,xgb,val_tuned,4.770375380758196e-05,0.0548918796310297,0.052486986697513,0.0515968384247651,observed_nonzero,observed_row,"F1=0.0549, Recall=0.0525, FPR=0.0516",CIC val_tuned applied to UNSW
cross_domain,cic,unsw,xgb,fixed_fpr,3.700014713103883e-05,0.057084007650434,0.0561017929438982,0.0545727448615726,observed_nonzero,observed_row,"F1=0.0571, Recall=0.0561, FPR=0.0546",CIC fixed_fpr applied to UNSW
cross_domain,cic,unsw,cnn1d,val_tuned,0.3158689439296722,0.0002891426919184,0.0001445922498554,0.0,observed_true_zero,observed_row,"Near-zero F1=0.0003, Recall=0.0001; effectively zero detection",CIC val_tuned applied to UNSW
cross_domain,cic,unsw,cnn1d,fixed_fpr,0.1224086210131645,0.0040392383150605,0.0020242914979757,1.735222412132675e-05,observed_nonzero,observed_row,"F1=0.0040, Recall=0.0020, FPR=0.0000",CIC fixed_fpr applied to UNSW
cross_domain,cic,unsw,lstm,val_tuned,0.6191602349281311,0.0,0.0,8.676112060663376e-06,observed_true_zero,observed_row,Zero recall at this threshold; model produces no (or negligible) positive predictions,CIC val_tuned applied to UNSW
cross_domain,cic,unsw,lstm,fixed_fpr,0.0023254889529198,0.0582125603864734,0.0348467322151532,0.0097432738441249,observed_nonzero,observed_row,"F1=0.0582, Recall=0.0348, FPR=0.0097",CIC fixed_fpr applied to UNSW
cross_domain,iot,unsw,lr,val_tuned,0.0142160438028694,0.0396527969137503,0.2080682475419317,0.5572232970961053,observed_nonzero,observed_row,"F1=0.0397, Recall=0.2081, FPR=0.5572",IOT val_tuned applied to UNSW
cross_domain,iot,unsw,lr,fixed_fpr,0.9999999996952262,0.0219604465905945,0.0516194331983805,0.2189850684111436,observed_nonzero,observed_row,"F1=0.0220, Recall=0.0516, FPR=0.2190",IOT fixed_fpr applied to UNSW
cross_domain,iot,unsw,rf,val_tuned,0.95,0.0010454783063251,0.0005783689994216,0.0063509140284055,observed_true_zero,observed_row,"Near-zero F1=0.0010, Recall=0.0006; effectively zero detection",IOT val_tuned applied to UNSW
cross_domain,iot,unsw,rf,fixed_fpr,1.0,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,IOT fixed_fpr applied to UNSW
cross_domain,iot,unsw,xgb,val_tuned,0.990845263004303,0.0340129662689091,0.1046847888953152,0.303073946503093,observed_nonzero,observed_row,"F1=0.0340, Recall=0.1047, FPR=0.3031",IOT val_tuned applied to UNSW
cross_domain,iot,unsw,xgb,fixed_fpr,0.9999665021896362,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,IOT fixed_fpr applied to UNSW
cross_domain,iot,unsw,cnn1d,val_tuned,0.9898059964179992,0.044517315049436,0.0647773279352226,0.1107332182302466,observed_nonzero,observed_row,"F1=0.0445, Recall=0.0648, FPR=0.1107",IOT val_tuned applied to UNSW
cross_domain,iot,unsw,cnn1d,fixed_fpr,1.0,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,IOT fixed_fpr applied to UNSW
cross_domain,iot,unsw,lstm,val_tuned,0.9152078032493592,0.1176693869804516,0.0896471949103528,0.0260456884061114,observed_nonzero,observed_row,"F1=0.1177, Recall=0.0896, FPR=0.0260",IOT val_tuned applied to UNSW
cross_domain,iot,unsw,lstm,fixed_fpr,0.9372491836547852,0.0002891008962127,0.0001445922498554,8.676112060663376e-06,observed_true_zero,observed_row,"Near-zero F1=0.0003, Recall=0.0001; effectively zero detection",IOT fixed_fpr applied to UNSW
cross_domain,unsw,cic,lr,fixed_fpr,1.0,0.0,0.0,0.0559343301244232,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,UNSW fixed_fpr applied to CIC
cross_domain,unsw,cic,rf,val_tuned,0.4917606094792408,0.0017408785219112,0.0012767380356473,0.3124317780717295,observed_true_zero,observed_row,"Near-zero F1=0.0017, Recall=0.0013; effectively zero detection",UNSW val_tuned applied to CIC
cross_domain,unsw,cic,rf,fixed_fpr,1.0,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,UNSW fixed_fpr applied to CIC
cross_domain,unsw,cic,xgb,val_tuned,0.8293607831001282,0.1635237810349985,0.1384804790807486,0.3726541007967301,observed_nonzero,observed_row,"F1=0.1635, Recall=0.1385, FPR=0.3727",UNSW val_tuned applied to CIC
cross_domain,unsw,cic,xgb,fixed_fpr,0.999995231628418,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,UNSW fixed_fpr applied to CIC
cross_domain,unsw,cic,cnn1d,val_tuned,0.8013953566551208,0.0020981348304851,0.0014692620251497,0.2678482166235373,observed_nonzero,observed_row,"F1=0.0021, Recall=0.0015, FPR=0.2678",UNSW val_tuned applied to CIC
cross_domain,unsw,cic,cnn1d,fixed_fpr,1.0,0.0,0.0,3.400469944946392e-05,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,UNSW fixed_fpr applied to CIC
cross_domain,unsw,cic,lstm,fixed_fpr,0.9999048709869384,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 0.9999 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,UNSW fixed_fpr applied to CIC
cross_domain,cic,unsw,xgb,default,0.5,0.0003,0.0001,0.0001,observed_true_zero,observed_row,"Near-zero F1=0.0003, Recall=0.0001; effectively zero detection",
cross_domain,cic,unsw,cnn1d,default,0.5,0.0,0.0,0.0,observed_true_zero,observed_row,Zero recall at this threshold; model produces no (or negligible) positive predictions,
cross_domain,cic,unsw,lstm,default,0.5,0.0,0.0,0.0,observed_true_zero,observed_row,Zero recall at this threshold; model produces no (or negligible) positive predictions,
cross_domain,unsw,iot,lr,default,0.5,0.8601,0.8608,0.1874,observed_nonzero,observed_row,"F1=0.8601, Recall=0.8608, FPR=0.1874",
cross_domain,unsw,iot,lr,val_tuned,0.79921,0.8643,0.8575,0.1689,observed_nonzero,observed_row,"F1=0.8643, Recall=0.8575, FPR=0.1689",
cross_domain,unsw,iot,lr,fixed_fpr,1.0,0.0041,0.002,0.0013,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0020 (near-zero); effectively all-benign prediction,degenerate threshold
cross_domain,unsw,iot,rf,default,0.5,0.3479,0.2205,0.0625,observed_nonzero,observed_row,"F1=0.3479, Recall=0.2205, FPR=0.0625",
cross_domain,unsw,iot,rf,val_tuned,0.491761,0.3518,0.2236,0.0634,observed_nonzero,observed_row,"F1=0.3518, Recall=0.2236, FPR=0.0634",
cross_domain,unsw,iot,rf,fixed_fpr,1.0,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,degenerate threshold
cross_domain,unsw,iot,xgb,default,0.5,0.8081,0.84,0.3183,observed_nonzero,observed_row,"F1=0.8081, Recall=0.8400, FPR=0.3183",
